Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,Duel gagne,Duels,2,,,,,22,0,0.4336,0.0530,,
Adversaire,Duel gagne,Duels,2,,,,,22,0,0.3516,0.0779,,
Adversaire,Duel gagne,Duels,2,,,,,22,0,0.2773,0.6791,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.0898,0.8536,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.8750,0.4143,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.6953,0.3178,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.6738,0.2555,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.6582,0.0810,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.3887,0.1402,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.2012,0.2617,,
Adversaire,Duel gagne,Duels,2,,,,,99,0,0.1074,0.1713,,
Adversaire,Duel gagne,Duels,2,,,,,28,0,0.0859,0.7040,,
Adversaire,Duel gagne,Duels,2,,,,,28,0,0.1250,0.7477,,
Adversaire,Duel gagne,Duels,2,,,,,28,0,0.1270,0.5016,,
Adversaire,Duel gagne,Duels,2,,,,,28,0,0.3867,0.5140,,
Adversaire,Duel gagne,Duels,2,,,,,28,0,0.0742,0.8754,,
Adversaire,Duel gagne,Duels,2,,,,,4,0,0.0781,0.5078,,
Adversaire,Duel gagne,Duels,2,,,,,4,0,0.1660,0.4829,,
Adversaire,Duel gagne,Duels,2,,,,,4,0,0.1250,0.3053,,
Adversaire,Duel gagne,Duels,2,,,,,4,0,0.3945,0.8069,,
Adversaire,Duel gagne,Duels,2,,,,,4,0,0.1230,0.3271,,
Adversaire,Duel gagne,Duels,2,,,,,5,0,0.4043,0.8629,,
Adversaire,Duel gagne,Duels,2,,,,,5,0,0.3301,0.7072,,
Adversaire,Duel gagne,Duels,2,,,,,5,0,0.3398,0.7913,,
Adversaire,Duel gagne,Duels,2,,,,,5,0,0.7617,0.9315,,
Adversaire,Duel gagne,Duels,2,,,,,5,0,0.5781,0.9533,,
Adversaire,Duel gagne,Duels,2,,,,,27,0,0.3066,0.7321,,
Adversaire,Duel gagne,Duels,2,,,,,27,0,0.6309,0.7352,,
Adversaire,Duel gagne,Duels,2,,,,,27,0,0.5840,0.8224,,
Adversaire,Duel gagne,Duels,2,,,,,27,0,0.3047,0.2492,,
Adversaire,Duel gagne,Duels,2,,,,,8,0,0.6191,0.9315,,
Adversaire,Duel gagne,Duels,2,,,,,8,0,0.4609,0.7788,,
Adversaire,Duel gagne,Duels,2,,,,,8,0,0.3613,0.6916,,
Adversaire,Duel gagne,Duels,2,,,,,8,0,0.7324,0.6947,,
Adversaire,Duel gagne,Duels,2,,,,,7,0,0.5527,0.4268,,
Adversaire,Duel gagne,Duels,2,,,,,7,0,0.6250,0.9470,,
Adversaire,Duel gagne,Duels,2,,,,,7,0,0.8125,0.9564,,
Adversaire,Duel gagne,Duels,2,,,,,20,0,0.5000,0.3209,,
Adversaire,Duel gagne,Duels,2,,,,,20,0,0.3691,0.5950,,
Adversaire,Duel gagne,Duels,2,,,,,18,0,0.0859,0.3894,,
Adversaire,Duel gagne,Duels,2,,,,,18,0,0.1035,0.5701,,
Adversaire,Duel gagne,Duels,2,,,,,88,0,0.6035,0.0436,,
Adversaire,Duel gagne,Duels,2,,,,,26,0,0.3496,0.8380,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.0723,0.0592,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.2539,0.1931,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.3477,0.4424,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.4160,0.4206,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.5762,0.3583,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.6309,0.8287,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.6934,0.9065,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.2813,0.6231,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.1406,0.7352,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.3633,0.2461,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.6387,0.2056,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.3730,0.0343,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.4043,0.8723,,
Adversaire,BALL LOST,Duels,2,,,,,13,0,0.4414,0.4860,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.5449,0.4829,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.3848,0.2212,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.3086,0.1433,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.2949,0.1838,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.2383,0.1059,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.1250,0.0498,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.1328,0.0779,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.0840,0.2243,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.3535,0.2243,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.3105,0.2274,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.2559,0.2243,,
Adversaire,BALL LOST,Duels,2,,,,,23,0,0.2813,0.1776,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.5273,0.1277,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.5801,0.0685,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6563,0.0903,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.8320,0.0498,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6816,0.2150,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6758,0.2897,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6582,0.3178,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6953,0.3458,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.7461,0.5016,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6816,0.7040,,
Adversaire,BALL LOST,Duels,2,,,,,27,0,0.6797,0.7664,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.6973,0.8442,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.7988,0.5421,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.8672,0.4548,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.8672,0.8847,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.5996,0.1713,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.5957,0.1215,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.6602,0.1558,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.4063,0.0935,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.7578,0.0966,,
Adversaire,BALL LOST,Duels,2,,,,,99,0,0.7559,0.2492,,
Adversaire,BALL LOST,Duels,2,,,,,22,0,0.0625,0.2679,,
