Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Wydad,Duels Aer,,1,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
Adversaire,Duels Aer,,2,,,,,,0,,,,
