Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start_X,Start_Y,End_X,End_Y
Adversaire,PASS,,2,,,,,6,,0.2832,0.8879,0.1152,0.7040
Adversaire,PASS,,2,,,,,6,,0.2441,0.8754,0.1445,0.8660
Adversaire,PASS,,2,,,,,77,,0.3184,0.7414,0.3535,0.6231
Adversaire,PASS,,2,,,,,77,,0.5762,0.7383,0.6680,0.6573
Adversaire,PASS,,2,,,,,77,,0.6719,0.1745,0.6855,0.5483
Adversaire,PASS,,2,,,,,77,,0.8359,0.1402,0.6152,0.2212
Adversaire,PASS,,2,,,,,77,,0.8496,0.1028,0.7656,0.2399
Adversaire,PASS,,2,,,,,77,,0.7461,0.0841,0.8262,0.0872
Adversaire,PASS,,2,,,,,77,,0.7676,0.0966,0.6602,0.1340
Adversaire,PASS,,2,,,,,77,,0.5586,0.1371,0.4746,0.2804
Adversaire,PASS,,2,,,,,77,,0.6426,0.0903,0.5859,0.0779
Adversaire,PASS,,2,,,,,77,,0.5664,0.3333,0.6465,0.3022
Adversaire,PASS,,2,,,,,77,,0.6465,0.3832,0.6484,0.2492
Adversaire,PASS,,2,,,,,77,,0.8203,0.1807,0.9141,0.7664
Adversaire,PASS,,2,,,,,17,,0.7793,0.3645,0.6543,0.3551
Adversaire,PASS,,2,,,,,17,,0.3223,0.1651,0.3125,0.7414
Adversaire,PASS,,2,,,,,17,,0.3809,0.1713,0.1641,0.2586
Adversaire,PASS,,2,,,,,17,,0.5371,0.1745,0.3809,0.2181
Adversaire,PASS,,2,,,,,17,,0.4414,0.2835,0.4199,0.1059
Adversaire,PASS,,2,,,,,17,,0.2500,0.6511,0.2676,0.3240
Adversaire,PASS,,2,,,,,17,,0.1250,0.8629,0.2422,0.8411
Adversaire,PASS,,2,,,,,17,,0.5039,0.8536,0.3301,0.2368
Adversaire,PASS,,2,,,,,17,,0.5820,0.1340,0.3887,0.6293
Adversaire,PASS,,2,,,,,17,,0.5840,0.1526,0.6738,0.3427
Adversaire,PASS,,2,,,,,17,,0.7578,0.2243,0.5645,0.1215
Adversaire,PASS,,2,,,,,17,,0.8516,0.2960,0.4258,0.0841
Adversaire,PASS,,2,,,,,17,,0.8906,0.1371,0.4707,0.3520
Adversaire,PASS,,2,,,,,17,,0.5566,0.4673,0.4316,0.3458
Adversaire,PASS,,2,,,,,17,,0.6602,0.7819,0.4355,0.4611
Adversaire,PASS,,2,,,,,17,,0.8398,0.8505,0.6719,0.7601
Adversaire,PASS,,2,,,,,17,,0.8574,0.8816,0.6895,0.6947
Adversaire,PASS,,2,,,,,17,,0.6113,0.8224,0.6621,0.7975
Adversaire,PASS,,2,,,,,17,,0.5684,0.6885,0.6367,0.7383
Adversaire,PASS,,2,,,,,17,,0.5371,0.6573,0.5703,0.7259
Adversaire,PASS,,2,,,,,20,,0.1074,0.6044,0.3438,0.7601
Adversaire,PASS,,2,,,,,20,,0.2500,0.8536,0.2363,0.5919
Adversaire,PASS,,2,,,,,20,,0.2344,0.8816,0.3730,0.7944
Adversaire,PASS,,2,,,,,20,,0.3516,0.6386,0.3242,0.8193
Adversaire,PASS,,2,,,,,20,,0.3184,0.8879,0.4043,0.7165
Adversaire,PASS,,2,,,,,20,,0.4141,0.8847,0.3418,0.8349
Adversaire,PASS,,2,,,,,20,,0.4375,0.8162,0.3574,0.7850
Adversaire,PASS,,2,,,,,20,,0.6289,0.7321,0.4336,0.7850
Adversaire,PASS,,2,,,,,20,,0.6348,0.9128,0.5664,0.6822
Adversaire,PASS,,2,,,,,20,,0.6035,0.9159,0.6348,0.7757
Adversaire,PASS,,2,,,,,20,,0.6113,0.9315,0.5879,0.8349
Adversaire,PASS,,2,,,,,20,,0.4219,0.6604,0.5762,0.8224
Adversaire,PASS,,2,,,,,20,,0.4980,0.6449,0.4258,0.8567
Adversaire,PASS,,2,,,,,20,,0.5391,0.5576,0.6016,0.8224
Adversaire,PASS,,2,,,,,20,,0.6484,0.6449,0.6484,0.3988
Adversaire,PASS,,2,,,,,20,,0.6914,0.4455,0.6191,0.4424
Adversaire,PASS,,2,,,,,11,,0.7598,0.5981,0.7578,0.3178
Adversaire,PASS,,2,,,,,11,,0.8438,0.6729,0.9355,0.8131
Adversaire,PASS,,2,,,,,11,,0.7559,0.8660,0.8770,0.8255
Adversaire,PASS,,2,,,,,11,,0.7637,0.7539,0.3770,0.9159
Adversaire,PASS,,2,,,,,11,,0.6328,0.7726,0.6250,0.8162
Adversaire,PASS,,2,,,,,11,,0.6836,0.7040,0.6582,0.7882
Adversaire,PASS,,2,,,,,11,,0.7148,0.6480,0.7129,0.7072
Adversaire,PASS,,2,,,,,11,,0.5371,0.8411,0.6992,0.9283
Adversaire,PASS,,2,,,,,11,,0.3945,0.7882,0.5977,0.9252
Adversaire,PASS,,2,,,,,11,,0.2578,0.8567,0.3516,0.9346
Adversaire,PASS,,2,,,,,11,,0.2363,0.8660,0.3125,0.9377
Adversaire,PASS,,2,,,,,11,,0.3594,0.8598,0.2559,0.8847
Adversaire,PASS,,2,,,,,11,,0.2715,0.8474,0.3945,0.8287
Adversaire,PASS,,2,,,,,21,,0.7910,0.3458,0.7500,0.3801
Adversaire,PASS,,2,,,,,21,,0.7598,0.3146,0.8379,0.1433
Adversaire,PASS,,2,,,,,21,,0.7754,0.2399,0.8496,0.0903
Adversaire,PASS,,2,,,,,21,,0.8457,0.3707,0.7227,0.5732
Adversaire,PASS,,2,,,,,21,,0.8457,0.7819,0.4961,0.6324
Adversaire,PASS,,2,,,,,21,,0.8457,0.6885,0.6641,0.7757
Adversaire,PASS,,2,,,,,21,,0.7012,0.9128,0.6465,0.6511
Adversaire,PASS,,2,,,,,21,,0.6563,0.8037,0.6563,0.8567
Adversaire,PASS,,2,,,,,21,,0.4414,0.5234,0.5098,0.4984
Adversaire,PASS,,2,,,,,21,,0.4395,0.3863,0.5078,0.3832
Adversaire,PASS,,2,,,,,21,,0.4980,0.1745,0.5430,0.1807
Adversaire,PASS,,2,,,,,21,,0.3867,0.8162,0.1836,0.6324
Adversaire,PASS,,2,,,,,21,,0.3418,0.8692,0.3008,0.8910
Adversaire,PASS,,2,,,,,21,,0.3242,0.2274,0.1953,0.2118
Adversaire,PASS,,2,,,,,27,,0.6348,0.7227,0.6035,0.5358
Adversaire,Passe ratee,Lost,2,,,,,22,,0.6621,0.0249,0.1523,0.3115
Adversaire,Passe ratee,Lost,2,,,,,22,,0.6191,0.5888,0.0918,0.4299
Adversaire,Passe ratee,Lost,2,,,,,22,,0.6797,0.4673,0.1133,0.6075
Adversaire,Passe ratee,Lost,2,,,,,22,,0.2930,0.9688,0.1328,0.6573
Adversaire,Passe ratee,Lost,2,,,,,16,,0.3828,0.8754,0.0820,0.8255
Adversaire,Passe ratee,Lost,2,,,,,16,,0.4004,0.8785,0.2422,0.7850
Adversaire,Passe ratee,Lost,2,,,,,16,,0.3887,0.8193,0.2930,0.9221
Adversaire,Passe ratee,Lost,2,,,,,16,,0.5703,0.7664,0.1289,0.8598
Adversaire,Passe ratee,Lost,2,,,,,16,,0.5898,0.6386,0.2793,0.8193
Adversaire,Passe ratee,Lost,2,,,,,16,,0.5938,0.4735,0.3789,0.6854
Adversaire,Passe ratee,Lost,2,,,,,16,,0.6465,0.8411,0.3105,0.8972
Adversaire,Passe ratee,Lost,2,,,,,16,,0.3516,0.8037,0.2813,0.7882
Adversaire,Passe ratee,Lost,2,,,,,16,,0.1680,0.9003,0.0703,0.9097
Adversaire,Passe ratee,Lost,2,,,,,16,,0.2207,0.9688,0.0449,0.9377
Adversaire,Passe ratee,Lost,2,,,,,5,,0.4238,0.8879,0.1855,0.9190
Adversaire,Passe ratee,Lost,2,,,,,5,,0.7129,0.8692,0.3574,0.9221
Adversaire,Passe ratee,Lost,2,,,,,5,,0.3594,0.7009,0.3145,0.6199
Adversaire,Passe ratee,Lost,2,,,,,5,,0.2852,0.7352,0.2363,0.7539
Adversaire,Passe ratee,Lost,2,,,,,5,,0.2969,0.8255,0.3008,0.7570
Adversaire,Passe ratee,Lost,2,,,,,5,,0.5977,0.2586,0.4219,0.5389
Adversaire,Passe ratee,Lost,2,,,,,19,,0.4121,0.4361,0.1602,0.5545
Adversaire,Passe ratee,Lost,2,,,,,19,,0.6934,0.5016,0.4102,0.3988
Adversaire,Passe ratee,Lost,2,,,,,19,,0.3965,0.3645,0.2422,0.2960
Adversaire,Passe ratee,Lost,2,,,,,19,,0.7422,0.1495,0.3125,0.2991
Adversaire,Passe ratee,Lost,2,,,,,19,,0.2969,0.2866,0.2676,0.2648
Adversaire,Passe ratee,Lost,2,,,,,19,,0.3535,0.2150,0.2578,0.1994
Adversaire,Passe ratee,Lost,2,,,,,4,,0.1582,0.1682,0.2129,0.0779
Adversaire,Passe ratee,Lost,2,,,,,4,,0.3867,0.1433,0.1543,0.1153
Adversaire,Passe ratee,Lost,2,,,,,4,,0.4629,0.3084,0.2910,0.2399
Adversaire,Passe ratee,Lost,2,,,,,4,,0.6680,0.2555,0.3984,0.2305
Adversaire,Passe ratee,Lost,2,,,,,4,,0.8379,0.4735,0.5879,0.0717
Adversaire,Passe ratee,Lost,2,,,,,4,,0.7891,0.9720,0.8516,0.1153
Adversaire,Passe ratee,Lost,2,,,,,4,,0.8203,0.3614,0.8086,0.1371
Adversaire,Passe ratee,Lost,2,,,,,4,,0.9023,0.1776,0.9082,0.1340
Adversaire,Passe ratee,Lost,2,,,,,4,,0.6855,0.6199,0.5137,0.0872
Adversaire,Passe ratee,Lost,2,,,,,4,,0.6660,0.6636,0.5176,0.1620
Adversaire,Passe ratee,Lost,2,,,,,6,,0.0859,0.8287,0.1348,0.8349
Adversaire,Passe ratee,Lost,2,,,,,6,,0.7852,0.6293,0.3906,0.8349
Adversaire,Passe ratee,Lost,2,,,,,6,,0.5898,0.2960,0.5000,0.3427
Adversaire,Passe ratee,Lost,2,,,,,6,,0.6602,0.4517,0.5273,0.2773
Adversaire,Passe ratee,Lost,2,,,,,6,,0.7305,0.9626,0.5449,0.5483
Adversaire,Passe ratee,Lost,2,,,,,17,,0.3477,0.4548,0.3535,0.5109
Adversaire,Passe ratee,Lost,2,,,,,17,,0.7852,0.4766,0.4375,0.3925
Adversaire,Passe ratee,Lost,2,,,,,17,,0.6406,0.4081,0.4551,0.2866
Adversaire,Passe ratee,Lost,2,,,,,17,,0.8516,0.1153,0.5410,0.1433
Adversaire,Passe ratee,Lost,2,,,,,17,,0.8125,0.1464,0.6328,0.2368
Adversaire,Passe ratee,Lost,2,,,,,17,,0.6328,0.0997,0.5996,0.0841
Adversaire,Passe ratee,Lost,2,,,,,20,,0.7324,0.8442,0.6289,0.7508
Adversaire,Passe ratee,Lost,2,,,,,20,,0.7344,0.1371,0.5547,0.2087
Adversaire,Passe ratee,Lost,2,,,,,20,,0.4082,0.5732,0.3867,0.5826
Adversaire,Passe ratee,Lost,2,,,,,20,,0.3926,0.7196,0.3320,0.7445
Adversaire,Passe ratee,Lost,2,,,,,20,,0.2070,0.7975,0.2422,0.7632
Adversaire,Passe ratee,Lost,2,,,,,11,,0.2188,0.7508,0.2930,0.8941
Adversaire,Passe ratee,Lost,2,,,,,11,,0.7188,0.3489,0.3730,0.7321
Adversaire,Passe ratee,Lost,2,,,,,11,,0.6973,0.2555,0.5977,0.6012
Adversaire,Passe ratee,Lost,2,,,,,11,,0.3770,0.7477,0.5137,0.9283
